,group,subgroup,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
WAG,general,general,0.08662791,0.043972,0.0390894,0.05704511,0.0193078,0.0367281,0.05805891,0.08325181,0.0244313,0.048466,0.08620901,0.06202861,0.0195027,0.0384319,0.0457631,0.06951791,0.06101271,0.0143859,0.0352742,0.07089561
Dayhoff,general,general,0.08712691,0.04090396,0.04043196,0.04687195,0.03347397,0.03825496,0.04952995,0.08861191,0.03361897,0.03688596,0.08535691,0.08048092,0.01475299,0.03977196,0.05067995,0.06957693,0.05854194,0.01049399,0.02991597,0.06471794
JTT,general,general,0.07674792,0.05169095,0.04264496,0.05154395,0.01980298,0.04075196,0.06182994,0.07315193,0.02294398,0.05376095,0.09190391,0.05867594,0.02382598,0.04012596,0.05090095,0.06876493,0.05856494,0.01426099,0.03210197,0.06600493
LG,general,general,0.07906592,0.05594094,0.04197696,0.05305195,0.01293699,0.04076696,0.07158593,0.05733694,0.02235498,0.06215694,0.0990809,0.06459994,0.02295098,0.04230196,0.04403996,0.06119694,0.05328695,0.01206599,0.03415497,0.06914693
VT,general,general,0.077076462,0.050081937,0.04623774,0.053792986,0.014453339,0.040892361,0.063357934,0.065567236,0.021880269,0.05919697,0.097646128,0.059207941,0.022069588,0.041350852,0.04768716,0.070729517,0.056775916,0.01270198,0.032374605,0.066919082
PMB,general,general,0.07559244,0.05379462,0.03769623,0.04469553,0.02849715,0.03389661,0.05349465,0.0779922,0.029997,0.05989401,0.09579042,0.0519948,0.02189781,0.0449955,0.0419958,0.06819318,0.05639436,0.01569843,0.0359964,0.07149285
Blosum62,general,general,0.074,0.052,0.045,0.054,0.025,0.034,0.054,0.074,0.026,0.068,0.099,0.058,0.025,0.047,0.039,0.057,0.051,0.013,0.032,0.073
mtREV,organellar,organellar,0.072,0.019,0.039,0.019,0.006,0.025,0.024,0.056,0.028,0.088,0.169,0.023,0.054,0.061,0.054,0.072,0.086,0.029,0.033,0.043
mtMAM,organellar,organellar,0.0692,0.0184,0.04,0.0186,0.0065,0.0238,0.0236,0.0557,0.0277,0.0905,0.1675,0.0221,0.0561,0.0611,0.0536,0.0725,0.087,0.0293,0.034,0.0428
mtART,organellar,organellar,0.054116,0.018227,0.039903,0.02016,0.009709,0.018781,0.024289,0.068183,0.024518,0.092638,0.148658,0.021718,0.061453,0.088668,0.041826,0.09103,0.049194,0.029786,0.039443,0.0577
mtZOA,organellar,organellar,0.06887993,0.02103698,0.03038997,0.02069598,0.00996599,0.01862298,0.02498898,0.07196793,0.02681397,0.08507191,0.15671684,0.01927598,0.05065195,0.08171192,0.04480296,0.08053492,0.05638594,0.02799797,0.03740396,0.06608293
mtMet,organellar,organellar,0.043793213,0.012957804,0.057001317,0.016899005,0.011330503,0.018018105,0.022538507,0.047050114,0.017183705,0.089779427,0.155226047,0.039913512,0.06744432,0.088448027,0.037528211,0.093752228,0.063579019,0.022671307,0.041568212,0.053317416
mtVer,organellar,organellar,0.070820265,0.014049893,0.045209877,0.014793693,0.006814197,0.026340887,0.021495189,0.044239978,0.024230988,0.090735055,0.172309914,0.027381186,0.056193972,0.049775775,0.054386273,0.074421863,0.108809946,0.025652687,0.026484687,0.045853677
mtInv,organellar,organellar,0.031742313,0.010900704,0.061579225,0.016149206,0.013570105,0.014644106,0.022311209,0.047847519,0.011641805,0.094322338,0.14940706,0.044438718,0.077262531,0.102287041,0.026290211,0.105939042,0.042869117,0.020701008,0.046556719,0.059540024
cpREV,organellar,organellar,0.0755,0.0621,0.041,0.0371,0.0091,0.0382,0.0495,0.0838,0.0246,0.0806,0.1011,0.0504,0.022,0.0506,0.0431,0.0622,0.0543,0.0181,0.0307,0.066
HIVb,viral,viral,0.060490222,0.066039665,0.044127815,0.042109048,0.020075899,0.053606488,0.071567447,0.072308239,0.022293943,0.069730629,0.098851122,0.056968211,0.019768318,0.028809447,0.046025282,0.05060433,0.053636813,0.033011601,0.028350243,0.061625237
HIVw,viral,viral,0.0377494,0.057321,0.0891129,0.0342034,0.0240105,0.0437824,0.0618606,0.0838496,0.0156076,0.0983641,0.0577867,0.0641682,0.0158419,0.0422741,0.0458601,0.0550846,0.0813774,0.019597,0.0205847,0.0515638
FLU,viral,viral,0.04707195,0.05090995,0.07421393,0.04785995,0.02502197,0.03330397,0.05458695,0.07637292,0.01996398,0.06713393,0.07149793,0.05678494,0.01815098,0.03049597,0.05065595,0.08840891,0.07433893,0.01852398,0.03147397,0.06322894
rtREV,viral,viral,0.0646,0.0453,0.0376,0.0422,0.0114,0.0606,0.0607,0.0639,0.0273,0.0679,0.1018,0.0751,0.015,0.0287,0.0681,0.0488,0.0622,0.0251,0.0318,0.0619
Q.LG,general,general,0.079986,0.053085,0.041306,0.050302,0.014855,0.03604,0.061659,0.064749,0.0218,0.063503,0.10604,0.057221,0.023366,0.04762,0.039789,0.063062,0.052908,0.015002,0.037417,0.070292
Q.pfam.2,general,general,0.085802,0.057729,0.042024,0.05646,0.010454,0.039556,0.067792,0.064902,0.021053,0.055376,0.100362,0.059369,0.019892,0.042793,0.039631,0.069245,0.055508,0.014404,0.033256,0.064392
Q.pfam_gblocks,general,general,0.08766,0.058154,0.037239,0.048117,0.013233,0.03808,0.063213,0.059035,0.021871,0.061155,0.11158,0.056999,0.022763,0.046732,0.035355,0.065285,0.052818,0.01555,0.035618,0.069541
Q.plant,clade,clade,0.074923,0.0505,0.038734,0.053195,0.0113,0.037499,0.068513,0.059627,0.021204,0.058991,0.102504,0.067306,0.022371,0.043798,0.037039,0.084451,0.04785,0.012322,0.030777,0.077097
Q.bird,clade,clade,0.066363,0.054021,0.037784,0.047511,0.022651,0.048841,0.071571,0.058368,0.025403,0.045108,0.100181,0.061361,0.021069,0.03823,0.053861,0.089298,0.053536,0.012313,0.027173,0.065359
Q.mammal,clade,clade,0.067997,0.055503,0.036288,0.046867,0.021435,0.050281,0.068935,0.055323,0.02641,0.041953,0.101191,0.060037,0.019662,0.036237,0.055146,0.096864,0.057136,0.011785,0.02473,0.066223
Q.insect,clade,clade,0.063003,0.049585,0.04755,0.048622,0.015291,0.044058,0.072012,0.03781,0.022358,0.066563,0.107325,0.080621,0.023976,0.041578,0.028532,0.081767,0.055167,0.009698,0.032219,0.072265
Q.yeast,clade,clade,0.059954,0.042032,0.052518,0.054641,0.008189,0.040467,0.070691,0.039935,0.018393,0.069555,0.109563,0.081967,0.018694,0.046979,0.031382,0.091102,0.055887,0.010241,0.033496,0.064313
EX2.exp,mixture,EX,0.088367,0.078147,0.047163,0.087976,0.004517,0.058526,0.128039,0.056993,0.024856,0.025277,0.045202,0.094639,0.012338,0.016158,0.060124,0.055346,0.05129,0.006771,0.021554,0.036718
EX2.bur,mixture,EX,0.123119,0.019475,0.019852,0.018583,0.018711,0.017275,0.018723,0.050388,0.016402,0.119697,0.161399,0.012776,0.035838,0.057019,0.030913,0.043472,0.049935,0.0126,0.039929,0.133894
EX3.bur,mixture,EX,0.123992,0.016529,0.017595,0.015784,0.019325,0.015552,0.015939,0.049573,0.01454,0.126555,0.167605,0.011083,0.037438,0.058363,0.028849,0.042324,0.049207,0.011962,0.037833,0.139953
EX3.int,mixture,EX,0.086346,0.080808,0.041727,0.06444,0.006654,0.052795,0.09211,0.048527,0.028831,0.040497,0.071679,0.079687,0.018007,0.025901,0.052632,0.052778,0.056138,0.010733,0.034744,0.054964
EX3.hex,mixture,EX,0.094155,0.070537,0.0522,0.112406,0.002213,0.062733,0.165272,0.062302,0.019853,0.011154,0.019829,0.10886,0.006503,0.006873,0.070091,0.057931,0.046183,0.002449,0.008629,0.019827
EHO.ext,mixture,EHO,0.062087,0.053435,0.023743,0.032063,0.013132,0.034151,0.061042,0.030664,0.022696,0.104732,0.099541,0.054991,0.022312,0.045996,0.025392,0.045673,0.072789,0.012691,0.04379,0.139079
EHO.hel,mixture,EHO,0.121953,0.076798,0.032215,0.066765,0.006842,0.061304,0.131841,0.026596,0.020392,0.047287,0.087919,0.084679,0.02097,0.024145,0.025871,0.042103,0.038715,0.008346,0.023841,0.051421
EHO.oth,mixture,EHO,0.076458,0.052393,0.055429,0.088634,0.007473,0.040671,0.080952,0.100192,0.025439,0.03173,0.0531,0.070835,0.014039,0.023159,0.087111,0.063636,0.055346,0.007033,0.023779,0.04259
UL2.m1,mixture,UL,0.122413,0.017757,0.020209,0.012086,0.018894,0.014525,0.009897,0.045663,0.02012,0.124002,0.168915,0.011684,0.037631,0.063612,0.023347,0.039268,0.046707,0.015603,0.050968,0.136701
UL2.m2,mixture,UL,0.087622,0.083588,0.048847,0.098882,0.002815,0.062809,0.143166,0.055391,0.02331,0.015495,0.032465,0.102135,0.009511,0.008409,0.069323,0.057733,0.051876,0.003945,0.014462,0.028216
UL3.m1,mixture,UL,0.104307,0.092553,0.043722,0.085643,0.003218,0.074342,0.163928,0.024243,0.022216,0.016012,0.038591,0.105577,0.011434,0.016126,0.018057,0.061232,0.061373,0.004086,0.020876,0.032465
UL3.m2,mixture,UL,0.044015,0.021591,0.056258,0.102405,0.00326,0.018409,0.041364,0.168549,0.015843,0.064277,0.118096,0.036061,0.027358,0.036695,0.124914,0.047807,0.022696,0.005866,0.018644,0.025892
UL3.m3,mixture,UL,0.134055,0.044392,0.02073,0.020801,0.021008,0.024509,0.028587,0.029069,0.028138,0.105826,0.117458,0.049732,0.02612,0.038984,0.016306,0.038369,0.055334,0.017276,0.039905,0.143398
EXEHO.burext,mixture,EXE,0.087158,0.015906,0.01297,0.012566,0.020325,0.013301,0.013777,0.039603,0.014597,0.161107,0.147775,0.011033,0.031334,0.064281,0.013322,0.035417,0.048583,0.012672,0.04521,0.199064
EXEHO.burhel,mixture,EXE,0.15806,0.021566,0.016487,0.014079,0.016937,0.020232,0.023096,0.032822,0.014618,0.114447,0.1989,0.014668,0.04284,0.053434,0.01564,0.037275,0.043095,0.012211,0.03633,0.113263
EXEHO.buroth,mixture,EXE,0.102123,0.021199,0.032404,0.03235,0.018985,0.017469,0.017625,0.08927,0.02109,0.083642,0.123866,0.01272,0.029789,0.055399,0.072705,0.061298,0.061705,0.013496,0.039682,0.093184
EXEHO.expext,mixture,EXE,0.04314,0.090761,0.034408,0.052848,0.00637,0.053817,0.107749,0.024812,0.029498,0.049134,0.050167,0.098127,0.013722,0.025841,0.037395,0.056505,0.094326,0.012045,0.039238,0.080099
EXEHO.exphel,mixture,EXE,0.115826,0.094038,0.037357,0.085821,0.003363,0.073078,0.167709,0.025416,0.021634,0.024147,0.050238,0.106612,0.013318,0.01333,0.029895,0.044902,0.037901,0.00646,0.018548,0.030407
EXEHO.expoth,mixture,EXE,0.071716,0.058979,0.060316,0.101089,0.005039,0.044673,0.093349,0.105394,0.026228,0.02022,0.037831,0.081647,0.010677,0.015875,0.090566,0.065046,0.054453,0.005546,0.019924,0.031432
LG4M.1,mixture,LG,0.082276,0.055172,0.043853,0.053484,0.018957,0.028152,0.046679,0.157817,0.033297,0.028284,0.054284,0.025275,0.023665,0.041874,0.063071,0.066501,0.065424,0.023837,0.038633,0.049465
LG4M.2,mixture,LG,0.1209,0.03646,0.02651,0.04041,0.01598,0.021132,0.025191,0.036369,0.015884,0.111029,0.162852,0.02482,0.028023,0.074058,0.012065,0.041963,0.039072,0.012666,0.040478,0.114137
LG4M.3,mixture,LG,0.072639,0.051691,0.038642,0.05558,0.009829,0.031374,0.048731,0.065283,0.023791,0.08664,0.120847,0.052177,0.026728,0.032589,0.039238,0.046748,0.053361,0.008024,0.037426,0.098662
LG4M.4,mixture,LG,0.104843,0.078835,0.043513,0.090498,0.002924,0.066163,0.15164,0.038843,0.022556,0.018383,0.038687,0.104462,0.010166,0.009089,0.06695,0.053667,0.049486,0.004409,0.012924,0.031963
LG4X.1,mixture,LG,0.147383,0.017579,0.058208,0.017707,0.026331,0.041582,0.017494,0.027859,0.011849,0.076971,0.147823,0.019535,0.037132,0.02994,0.008059,0.088179,0.089653,0.006477,0.032308,0.097931
LG4X.2,mixture,LG,0.063139,0.066357,0.011586,0.066571,0.0108,0.009276,0.053984,0.146986,0.034214,0.088822,0.098196,0.03239,0.021263,0.072697,0.016761,0.020711,0.020797,0.025463,0.045615,0.094372
LG4X.3,mixture,LG,0.062457,0.066826,0.049332,0.06527,0.006513,0.041231,0.058965,0.080852,0.028024,0.037024,0.075925,0.064131,0.01962,0.02871,0.104579,0.056388,0.062027,0.008241,0.033124,0.05076
LG4X.4,mixture,LG,0.106471,0.074171,0.044513,0.09639,0.002148,0.066733,0.158908,0.037625,0.020691,0.014608,0.028797,0.105352,0.007864,0.007477,0.083595,0.055726,0.047711,0.003975,0.010088,0.027159
Fclass.1,mixture,F,0.02549352,0.01296012,0.005545202,0.006005566,0.01002193,0.01112289,0.008811948,0.001796161,0.004312188,0.2108274,0.2730413,0.01335451,0.07862202,0.03859909,0.005058205,0.008209453,0.03210019,0.002668138,0.01379098,0.2376598
Fclass.2,mixture,F,0.09596966,0.008786096,0.02805857,0.01880183,0.005026264,0.006454635,0.01582725,0.7215719,0.003379354,0.002257725,0.003013483,0.01343441,0.001511657,0.002107865,0.006751404,0.04798539,0.01141559,0.000523736,0.002188483,0.004934972
Fclass.3,mixture,F,0.01726065,0.005467988,0.01092937,0.3627871,0.001046402,0.01984758,0.5149206,0.004145081,0.002563289,0.002955213,0.005286931,0.01558693,0.002693098,0.002075771,0.003006167,0.01263069,0.01082144,0.000253451,0.001144787,0.004573568
Fclass.4,mixture,F,0.1263139,0.09564027,0.07050061,0.03316681,0.02095119,0.05473468,0.02790523,0.009007538,0.03441334,0.005855319,0.008061884,0.1078084,0.009019514,0.05018693,0.07948,0.09447839,0.09258897,0.01390669,0.05367769,0.01230413
C10.pi1,CAT,C10,0.408257313,0.008178302,0.009628544,0.006987089,0.034938818,0.007527974,0.009784665,0.122161322,0.003915183,0.012578429,0.015833866,0.005967015,0.008131322,0.006160433,0.039415587,0.168245066,0.065813254,0.001875159,0.004157975,0.060442687
C10.pi2,CAT,C10,0.102776349,0.041866449,0.021327205,0.015594362,0.014966345,0.044068548,0.041966745,0.013880579,0.015886481,0.106607664,0.113194413,0.043634368,0.043780033,0.018072931,0.02232507,0.052960809,0.108174101,0.004514721,0.013737386,0.160665445
C10.pi3,CAT,C10,0.035176602,0.001967863,0.001659148,0.000676874,0.007870654,0.001655956,0.001968677,0.00224206,0.001287834,0.351581959,0.127818311,0.001885655,0.024263175,0.012622133,0.002977156,0.00499981,0.025537803,0.001190778,0.003753928,0.388863625
C10.pi4,CAT,C10,0.040851393,0.026988707,0.218564819,0.233381479,0.003760285,0.038045142,0.090123887,0.115833207,0.037319718,0.002552364,0.005216462,0.048501727,0.002257178,0.002510822,0.010833361,0.080452721,0.030288,0.001081526,0.006989093,0.004448112
C10.pi5,CAT,C10,0.018549266,0.00623624,0.002489572,0.000977506,0.007041651,0.008353945,0.002489162,0.002895291,0.004010398,0.163242235,0.444307941,0.004357088,0.120281569,0.073332978,0.004882765,0.005164244,0.013180665,0.006875978,0.014473442,0.096858064
C10.pi6,CAT,C10,0.110675012,0.035219004,0.040518621,0.16364379,0.001483486,0.08779622,0.263845659,0.032522829,0.01638036,0.00683349,0.014067958,0.067715821,0.004898813,0.002325678,0.029898214,0.056288795,0.04269225,0.001033898,0.00405223,0.018107872
C10.pi7,CAT,C10,0.052265766,0.066829465,0.071483685,0.029774526,0.014332493,0.07365403,0.038838667,0.022810111,0.155163811,0.018740615,0.065377993,0.043946935,0.020718912,0.062403302,0.01454755,0.054901763,0.037014006,0.01937569,0.111069455,0.026751227
C10.pi8,CAT,C10,0.011658734,0.005099014,0.006401105,0.002174246,0.010534074,0.004020373,0.002425111,0.003470914,0.036678705,0.018718533,0.067648975,0.002669472,0.014353481,0.36509856,0.003115993,0.009484854,0.007371392,0.050956455,0.357485859,0.02063415
C10.pi9,CAT,C10,0.062719595,0.203878216,0.042862916,0.023619329,0.005266289,0.109811177,0.068628499,0.025617496,0.033261212,0.012896825,0.030562774,0.227083936,0.012403699,0.003918184,0.014044061,0.048315247,0.046337809,0.002514347,0.006552112,0.019706277
C10.pi10,CAT,C10,0.11455186,0.032400891,0.075061498,0.041619219,0.00985495,0.033962466,0.036490791,0.050381758,0.016523333,0.009294946,0.013915371,0.042302689,0.008224081,0.004660598,0.037922155,0.26106479,0.184582928,0.001754898,0.005853832,0.019576948
C20.pi1,CAT,C20,0.086241251,0.017194379,0.079129338,0.032990862,0.013050456,0.016904694,0.01845265,0.03669053,0.010801334,0.009790715,0.011282642,0.022019522,0.008782148,0.004415534,0.01892732,0.317815236,0.271170052,0.001531731,0.004834285,0.017975322
C20.pi2,CAT,C20,0.203558287,0.005098081,0.007705241,0.003165608,0.034866729,0.006404407,0.00708594,0.019523552,0.002439204,0.115257329,0.078977739,0.004238085,0.030918702,0.011242936,0.016418922,0.049677714,0.111894662,0.001776257,0.004844821,0.284905787
C20.pi3,CAT,C20,0.021154741,0.001494618,0.001275503,0.000549287,0.004818856,0.001232881,0.001453963,0.001143087,0.001134639,0.392846063,0.125064421,0.001357995,0.020978881,0.012825174,0.002024725,0.002624073,0.017191412,0.001159107,0.003602797,0.386067779
C20.pi4,CAT,C20,0.037690354,0.288519615,0.036541147,0.01094694,0.006407383,0.089356438,0.035836546,0.019110678,0.032951395,0.010171188,0.02374955,0.289762697,0.009652887,0.00363498,0.010533737,0.035631377,0.03559265,0.002792524,0.006655722,0.01446219
C20.pi5,CAT,C20,0.00845978,0.005358992,0.007252588,0.002448785,0.0084909,0.004278148,0.002505549,0.002427711,0.043321403,0.009771303,0.038050704,0.002674101,0.008072477,0.342046384,0.002141867,0.008041894,0.005532212,0.049484019,0.437500156,0.012141028
C20.pi6,CAT,C20,0.175989889,0.029042918,0.033284557,0.130126382,0.001755869,0.070718395,0.218216668,0.040953514,0.01307082,0.008562209,0.01595307,0.054294617,0.005404576,0.002527698,0.03710204,0.07934805,0.054008342,0.00105921,0.003625912,0.024955265
C20.pi7,CAT,C20,0.163439732,0.019554118,0.043870183,0.037427261,0.008865989,0.013755476,0.022061192,0.529671773,0.009000614,0.001756935,0.006115627,0.016711798,0.002939079,0.003064135,0.012645777,0.082934278,0.014283561,0.002864069,0.00323983,0.005798574
C20.pi8,CAT,C20,0.091746876,0.026585331,0.029069909,0.01338189,0.028401501,0.025508451,0.019687569,0.024989879,0.044976641,0.058355569,0.115500922,0.016491596,0.03959946,0.09984791,0.020991616,0.073648274,0.066151846,0.024646392,0.097232723,0.083185648
C20.pi9,CAT,C20,0.064670071,0.0988016,0.022890731,0.016873386,0.00771176,0.099641488,0.054497796,0.014889398,0.031385199,0.050598332,0.1844283,0.090793129,0.077483996,0.021914817,0.010500447,0.032119617,0.041176606,0.008430303,0.020610604,0.050582422
C20.pi10,CAT,C20,0.013599387,0.004340838,0.001846938,0.00079517,0.010009024,0.004642078,0.001801176,0.002679465,0.007240192,0.081402671,0.366142225,0.002515814,0.073496513,0.264096525,0.003899413,0.004366876,0.007524845,0.02615649,0.06609708,0.057347283
C20.pi11,CAT,C20,0.147803624,0.084284509,0.072663022,0.053474324,0.004882581,0.075716616,0.072724646,0.090772594,0.026228886,0.003578108,0.012677722,0.10516601,0.005962179,0.002990387,0.01565582,0.145990334,0.063487744,0.001592845,0.005076074,0.009271977
C20.pi12,CAT,C20,0.018637741,0.004205517,0.001986524,0.00083297,0.005496885,0.006589009,0.00202485,0.002171348,0.002366599,0.202080978,0.437038192,0.002912065,0.124186038,0.038538316,0.004067228,0.004617738,0.01499044,0.002687167,0.005632412,0.118937984
C20.pi13,CAT,C20,0.047762434,0.050574267,0.020957427,0.014134916,0.007579171,0.04292968,0.046268807,0.005232791,0.016535182,0.174149663,0.112125357,0.057757502,0.033028805,0.013069135,0.012437473,0.026498893,0.095175468,0.003166048,0.011246575,0.209370408
C20.pi14,CAT,C20,0.416418985,0.005610082,0.009170138,0.004513175,0.040693795,0.00613205,0.00632298,0.094618518,0.00310574,0.007644322,0.009988541,0.003894177,0.006932316,0.004843836,0.018784076,0.23607743,0.074627461,0.001217258,0.003482579,0.045922542
C20.pi15,CAT,C20,0.040229589,0.0735203,0.103664719,0.036552399,0.012478298,0.082655813,0.037219728,0.023361808,0.210830713,0.009347873,0.036056149,0.048241059,0.010028954,0.045909492,0.009850397,0.053338345,0.031020901,0.014007664,0.106437782,0.015248018
C20.pi16,CAT,C20,0.032345303,0.0236283,0.252044808,0.243149596,0.00359763,0.033083115,0.07102745,0.101607456,0.036622508,0.003141081,0.005198054,0.047012935,0.002402874,0.002442928,0.009483783,0.084835528,0.035908328,0.000873093,0.006724767,0.004870464
C20.pi17,CAT,C20,0.147625664,0.03345066,0.021197252,0.040305155,0.003232719,0.037155448,0.057689339,0.033085094,0.014639256,0.010826701,0.025620079,0.045135088,0.00586514,0.004717718,0.347371051,0.089206528,0.048589945,0.001635875,0.004417719,0.028233569
C20.pi18,CAT,C20,0.103144814,0.071774766,0.043517214,0.03864015,0.006176247,0.078660312,0.092336914,0.020233842,0.02467619,0.037690428,0.037628368,0.092169892,0.016188332,0.006766643,0.012830212,0.095145019,0.13785667,0.002214474,0.008304157,0.074045356
C20.pi19,CAT,C20,0.083754282,0.089938324,0.051881142,0.080487057,0.002073508,0.145649747,0.194775918,0.022903036,0.02684588,0.007407976,0.019024958,0.145928741,0.006739524,0.002306339,0.008561601,0.045573959,0.045108084,0.001077135,0.004932533,0.015030256
C20.pi20,CAT,C20,0.057873557,0.01383136,0.049142164,0.294673894,0.001113084,0.059825036,0.340210267,0.029391144,0.0139817,0.003052566,0.006261192,0.036336504,0.002729598,0.001703488,0.015610639,0.035804464,0.024994188,0.000866434,0.003831298,0.008767423
C30.pi1,CAT,C30,0.110045395,0.017129486,0.064033846,0.159541146,0.001904724,0.031018709,0.109895882,0.068430154,0.013795071,0.002628307,0.007339653,0.035855367,0.002470641,0.001662947,0.166935682,0.138179047,0.056834255,0.000466112,0.003597015,0.008236559
C30.pi2,CAT,C30,0.087412547,0.080632039,0.038215237,0.032611988,0.004982638,0.079816885,0.095170081,0.014404271,0.021062665,0.039988445,0.030158507,0.114720002,0.012648891,0.00489966,0.013739703,0.087376967,0.155861662,0.001512284,0.005397446,0.079388084
C30.pi3,CAT,C30,0.022547741,0.001490054,0.001303459,0.000595928,0.005001816,0.001143656,0.001503053,0.001157095,0.000937432,0.394468917,0.088957314,0.001360087,0.018910267,0.008921603,0.001831203,0.002833641,0.01898134,0.000669375,0.002330373,0.425055648
C30.pi4,CAT,C30,0.060215821,0.01368333,0.041498794,0.290008411,0.000952546,0.062161108,0.361086903,0.028192562,0.01305008,0.003051624,0.006040189,0.035270469,0.002746064,0.001462562,0.01271755,0.031810938,0.022527952,0.000794803,0.003402456,0.00932584
C30.pi5,CAT,C30,0.010122364,0.002834492,0.001292891,0.000637919,0.008598936,0.003502855,0.001124963,0.002408523,0.004775338,0.070115313,0.41359139,0.001674849,0.074486263,0.278538441,0.004046658,0.003708716,0.005237933,0.020022264,0.052393881,0.040886014
C30.pi6,CAT,C30,0.133583178,0.028478959,0.021389163,0.112577554,0.001051454,0.056584432,0.209957297,0.020755187,0.012133049,0.007352652,0.013327824,0.077177201,0.003057169,0.001679359,0.189019513,0.048405411,0.037331818,0.0009267,0.002694643,0.022517438
C30.pi7,CAT,C30,0.040827737,0.012449177,0.008046487,0.00306349,0.015391841,0.01029221,0.006601088,0.005811314,0.024521176,0.148751455,0.163780216,0.007592323,0.038552736,0.157504989,0.005835222,0.015157862,0.033222036,0.026493711,0.121334299,0.154770631
C30.pi8,CAT,C30,0.246905925,0.010627895,0.016892968,0.002741827,0.103940631,0.01039882,0.005494476,0.037326321,0.008575232,0.029240379,0.053509118,0.005612305,0.030224649,0.025177564,0.007809895,0.164235227,0.123988971,0.005315588,0.016395399,0.095586813
